name,created_at,updated_at,midpoint_fom_20220315,baseline_fom_20220315,skylab_uuid
1649603776_shape_20220410_14.41.24_5c6b,2022-04-10T15:18:37.577030,2022-05-25T19:34:54.189607,-10.233947901945063,-9.364725458885452,acc0fbb4-f0ab-4518-ab63-13c5faa32bba
1642841267_shape_20211207_11.45.57_5c6b,2022-01-22T08:50:07.318725,2022-05-25T19:34:59.153663,-89.51364687189574,-80.32299642391129,acd7932a-5bed-4601-8651-aed50ec5069f
1648221356_shape_20220325_13.12.48_5c6b,2022-03-25T15:19:47.282242,2022-05-25T19:35:04.453681,-21.032785200489315,-3.2863757935295825,ad5531ed-e842-490b-8f00-369d8e2f2357
1649214950_shape_20220406_02.44.28_5c6b,2022-04-06T03:18:10.817542,2022-05-25T19:35:10.027201,-10.984531951777907,-9.908340222953113,ad5fa2f4-9854-477b-a5ff-192ef3b53cd8
1649844467_shape_20220413_09.36.29_5c6b,2022-04-13T10:10:07.227358,2022-05-25T19:35:14.894467,-10.834548616419431,-9.578270500295035,adb91822-3fc4-4691-bca1-d1374c5cc89e
1643274655_shape_20220127_08.31.21_5c6b,2022-01-27T09:14:51.578746,2022-05-25T19:35:21.416439,-118.33062490077052,-106.2224641930389,ae278caf-8f3a-43e4-a3cd-cbabcbff39b9
1651283781_shape_20220430_01.23.55_5c6b,2022-04-30T01:58:53.667159,2022-05-25T19:35:27.170825,-9.769742968626108,-11.260220952745327,aebf5b84-3d4e-4f57-99d3-168f346f2765
1647424174_shape_20220316_09.00.48_5c6b,2022-03-16T09:53:20.872543,2022-05-25T19:35:32.720539,-27.396302104294453,-13.21054186874473,af11f42d-c0f8-436d-8c00-cae6d8276a79
1647625200_shape_20220318_16.50.13_5c6b,2022-03-18T17:43:53.096908,2022-05-25T19:35:38.604829,-32.0216848012127,-21.109741507671313,af37366d-60f6-40dc-80e2-29c4a1d2076c
1649799818_shape_20220412_21.09.27_5c6b,2022-04-12T21:46:12.262899,2022-05-25T19:35:44.873370,-7.2593260431021625,-5.527732891635597,af5fa3f7-4e90-4bf0-9423-07a461ae82b1
1646110511_shape_20220301_04.28.57_5c6b,2022-03-01T04:57:37.517477,2022-05-25T19:35:50.436211,-28.68609911877268,-2.4954721491693146,af85d29a-0f9b-4ae5-aa16-1a7bfd182850
1648084512_shape_20220324_00.12.07_5c6b,2022-03-24T01:19:10.501373,2022-05-25T19:35:56.626877,-36.93508782575714,-27.87820124248212,afbef579-fe1c-46a6-af2f-156a072000bb
1651125106_shape_20220428_05.19.29_5c6b,2022-04-28T05:54:13.573968,2022-05-25T19:36:02.921867,-10.76520993044664,-11.422064946431401,b0075f9d-0ed5-4128-8bd0-2b015cd900c1
1650962975_shape_20220426_08.16.59_5c6b,2022-04-26T08:51:54.001278,2022-05-25T19:36:08.870811,-10.30035834681197,-11.117048855260766,b064032e-a077-4266-a8ad-d2639dbe6728
1644008112_shape_20220204_20.15.53_5c6b,2022-02-04T20:59:55.914697,2022-05-25T19:36:14.157139,-123.75452565411871,-114.481030107566,b08d529e-98ce-4fdc-8762-6d09d0227aa5
1651445824_shape_20220501_22.24.11_5c6b,2022-05-01T22:59:39.556187,2022-05-25T19:36:19.745062,-10.369671436054361,-11.128369626586043,b09c78ec-b748-42ce-a9cb-eb9fd1f5227f
1646085639_shape_20220228_20.54.49_5c6b,2022-02-28T22:03:05.008015,2022-05-25T19:36:25.446048,-29.10977089817325,-2.749422377538875,b163a920-3c83-4422-bbbf-265728b19cbf
1643072908_shape_20220116_10.19.33_5c6b,2022-01-25T01:11:06.201925,2022-05-25T19:36:30.973564,-229.61566414646774,-218.0619988723884,b23b9a39-824c-47d6-9e1f-311a6bc2a0c9
1650163475_shape_20220417_02.12.50_5c6b,2022-04-17T02:46:54.252129,2022-05-25T19:36:36.054647,-10.792364742443866,-10.752188751251397,b2c2ab09-7604-4a5e-9274-a3d4b2f3e49f
1643154639_shape_20220125_23.13.37_5c6b,2022-01-25T23:54:22.528537,2022-05-25T19:36:41.367009,-63.64855903415215,-52.312564373903896,b2fadff6-d770-4a63-b1b2-788a999c914a
1649705246_shape_20220411_18.56.45_5c6b,2022-04-11T19:29:49.221426,2022-05-25T19:36:47.065907,-11.295440536598571,-7.361422861729174,b3200f03-0cc2-4b30-be34-82859d80a854
1651226477_shape_20220429_09.29.55_5c6b,2022-04-29T10:03:48.126885,2022-05-25T19:36:52.592549,-9.286805402610014,-8.103629257246647,b3807cf2-4600-43ee-8478-eb753bef6138
1643768130_shape_20220202_01.34.51_5c6b,2022-02-02T02:19:40.051494,2022-05-25T19:36:57.682692,-102.3666381090638,-92.22478436086081,b39d4488-4ced-4f68-87ae-9890edea94b0
1651344791_shape_20220430_18.23.07_5c6b,2022-04-30T18:55:44.847654,2022-05-25T19:37:03.183255,-9.095470085066966,-7.698325566320015,b3f4d624-5e12-470a-b4e8-6c739ae6ab09
1649841259_shape_20220413_08.41.40_5c6b,2022-04-13T09:16:37.265507,2022-05-25T19:37:08.232819,-10.595070174654943,-10.231305415860446,b45114d9-21cb-47b9-8925-fa6095ec9d6b
1648546076_shape_20220329_08.38.21_5c6b,2022-03-29T09:31:51.986177,2022-05-25T19:37:13.498639,-20.739316655817504,-9.929349484342445,b4534e7d-a948-4053-98e9-c8012eff2c87
1646196352_shape_20220302_04.19.28_5c6b,2022-03-02T04:48:18.784687,2022-05-25T19:37:18.654777,-19.153833334827535,-1.4336823688990827,b46670ab-a582-4c56-8ec1-04b723d8caf1
1651455724_shape_20220502_01.09.21_5c6b,2022-05-02T01:44:39.744956,2022-05-25T19:37:23.978994,-9.55519013747718,-10.568110601198788,b4dd135d-e2fc-489a-bddf-0284bdbe06cb
1643278094_shape_20220127_09.28.04_5c6b,2022-01-27T10:12:08.130584,2022-05-25T19:37:28.780380,-67.15168475653743,-55.86313200815679,b55bd6a7-7be0-4edd-a298-db02479522f7
1643921035_shape_20220203_20.06.31_5c6b,2022-02-03T20:48:16.902964,2022-05-25T19:37:34.050957,-87.51655920332388,-76.3464116994254,b56e1be3-5b70-4046-816e-00d2e0f9cb05
1643175091_shape_20220126_04.51.36_5c6b,2022-01-26T05:35:15.284242,2022-05-25T19:37:39.512962,-61.92082170055151,-49.63477136455978,b5c8e938-2ba5-48be-ae4f-e766384bdd4b
1650049976_shape_20220415_18.37.44_5c6b,2022-04-15T19:15:20.441816,2022-05-25T19:37:44.662394,-8.196794202502492,-5.040059130926512,b5f1f3f2-7eef-4837-b4e2-27f5019e6a8e
1649789596_shape_20220412_18.21.39_5c6b,2022-04-12T18:55:35.503718,2022-05-25T19:37:49.990871,-9.546689558930986,-10.119053983340478,b640fe7b-a75d-4e24-8f97-3b7a14a43cbd
1645820720_shape_20220225_19.57.55_5c6b,2022-02-25T20:27:51.632983,2022-05-25T19:37:55.093666,-27.80398117260857,-2.115760196367109,b67d27a2-406b-4c7d-b144-9513af481e0a
1650975370_shape_20220426_11.46.40_5c6b,2022-04-26T12:18:35.989322,2022-05-25T19:38:00.171449,-17.89461564124462,-17.567541487829743,b6ae0c00-ce64-4f00-96b3-47361372aeed
1643795969_shape_20220202_09.18.51_5c6b,2022-02-02T10:03:37.005455,2022-05-25T19:38:05.912485,-84.22605366746804,-74.91916341762833,b6df6d08-e49b-4e07-934b-20775f667e5e
1649225113_shape_20220406_05.30.37_5c6b,2022-04-06T06:07:34.037524,2022-05-25T19:38:11.338010,-42.0801047142587,-34.09544967068008,b77b1856-e6b1-44d1-a364-ec23c074bb3e
1648142045_shape_20220324_16.23.26_5c6b,2022-03-24T17:18:04.413597,2022-05-25T19:38:17.400818,-40.79017392076469,-29.28659044724298,b7fe5ecf-4cf5-4242-a6a8-6498d9d78a1e
1643809747_shape_20220202_13.08.41_5c6b,2022-02-02T13:53:38.955210,2022-05-25T19:38:23.607330,-47.22172953389553,-40.75664644817508,b8481cf4-7a29-402a-beaa-6df63fb5ddd2
1647940428_shape_20220322_08.10.23_5c6b,2022-03-22T09:17:42.813257,2022-05-25T19:38:28.810598,-33.548264895366884,-24.096130016398263,b85feb15-32b9-4e58-b89a-2cad3101b547
1648177095_shape_20220325_02.08.52_5c6b,2022-03-25T03:02:09.411437,2022-05-25T19:38:34.101768,-16.070127171323147,-8.530104245518936,b8bd3c21-d6e5-4333-b9f2-83a5ea591b3f
1643295176_shape_20220127_14.14.54_5c6b,2022-01-27T14:57:21.528760,2022-05-25T19:38:39.950926,-49.37417848525033,-36.75881434620459,b9066188-1aa3-49c8-bae2-2f35bbc7c583
1649387679_shape_20220408_02.43.57_5c6b,2022-04-08T03:16:58.440774,2022-05-25T19:38:45.296405,-5.842600034683511,-5.334491406072534,b920ac77-9e60-4d10-92c0-7229ea400fa0
1651950158_shape_20220507_18.32.29_5c6b,2022-05-07T19:05:24.122102,2022-05-25T19:38:51.107452,-13.135996339900945,-7.810630506031511,b961cd7e-a3cd-4694-9d15-5bee1129b5cb
1648131007_shape_20220324_13.07.00_5c6b,2022-03-24T14:14:10.525722,2022-05-25T19:38:57.772362,-24.62178512117339,-18.992662222850534,b96e7f05-0bc5-4b70-8af3-c131a3ba1e48
1647539601_shape_20220317_15.14.13_5c6b,2022-03-17T17:57:06.493157,2022-05-25T19:39:03.772969,-45.7255771843489,-31.465571192382917,b9a3900b-95bf-4e1a-9d12-6d15eade3f26
